Trajectory Recorded at ,Thu Oct 29 17:15:06 2020,Duration: 13.6052s

Time Stamp,Time Stamp,Position,Position,Position,Position,Position,Position,Velocity,Velocity,Velocity,Velocity,Velocity,Velocity
seconds,nseconds,shoulder_pan_joint,shoulder_lift_joint,elbow_joint,wrist_1_joint,wrist_2_joint,wrist_3_joint,shoulder_pan_joint,shoulder_lift_joint,elbow_joint,wrist_1_joint,wrist_2_joint,wrist_3_joint,
0,0,0.0292233,-0.869626,-1.91934,0.00012207,-0.00294447,8.9407e-05,0,0,0,0,0,0,
0,0,0.0292252,-0.869626,-1.91934,0.00012207,-0.00294495,8.9407e-05,0,0,0,0,0,0,
0,0,0.0292271,-0.869625,-1.91934,0.00012207,-0.00294542,8.9407e-05,0,0,0,0,0,0,
0,0,0.029229,-0.869624,-1.91934,0.00012207,-0.0029459,8.9407e-05,0,0,0,0,0,0,
0,0,0.0292309,-0.869624,-1.91934,0.00012207,-0.00294638,8.96454e-05,0,0,0,0,0,0,
0,0,0.0292328,-0.869624,-1.91934,0.00012207,-0.00294685,8.96454e-05,0,0,0,0,0,0,
0,0,0.0292347,-0.869623,-1.91934,0.000122309,-0.00294733,8.96454e-05,0,0,0,0,0,0,
0,0,0.0292367,-0.869623,-1.91934,0.000122309,-0.00294781,8.96454e-05,0,0,0,0,0,0,
0,0,0.0292386,-0.869622,-1.91934,0.000122309,-0.00294828,8.96454e-05,0,0,0,0,0,0,
0,0,0.0292405,-0.869621,-1.91934,0.000122309,-0.00294876,8.96454e-05,0,0,0,0,0,0,
0,0,0.0292424,-0.869621,-1.91934,0.000122309,-0.00294924,8.98838e-05,0,0,0,0,0,0,
0,0,0.0292443,-0.869621,-1.91934,0.000122309,-0.00294971,8.98838e-05,0,0,0,0,0,0,
0,0,0.0292462,-0.86962,-1.91934,0.000122309,-0.00295019,8.98838e-05,0,0,0,0,0,0,
0,0,0.0292481,-0.86962,-1.91934,0.000122309,-0.00295067,8.98838e-05,0,0,0,0,0,0,
0,0,0.02925,-0.869619,-1.91934,0.00012207,-0.00295115,8.98838e-05,0,0,0,0,0,0,
0,0,0.0292519,-0.869619,-1.91934,0.00012207,-0.00295162,8.98838e-05,0,0,0,0,0,0,
0,0,0.0292538,-0.869618,-1.91934,0.00012207,-0.0029521,8.98838e-05,0,0,0,0,0,0,
0,0,0.0292557,-0.869618,-1.91934,0.00012207,-0.00295258,8.98838e-05,0,0,0,0,0,0,
0,0,0.0292576,-0.869617,-1.91934,0.00012207,-0.00295305,8.98838e-05,0,0,0,0,0,0,
0,0,0.0292595,-0.869616,-1.91934,0.00012207,-0.00295353,8.98838e-05,0,0,0,0,0,0,
0,0,0.0292614,-0.869616,-1.91934,0.00012207,-0.00295401,8.98838e-05,0,0,0,0,0,0,
0,0,0.0292634,-0.869616,-1.91934,0.00012207,-0.00295448,8.98838e-05,0,0,0,0,0,0,
0,0,0.0292653,-0.869615,-1.91934,0.00012207,-0.00295496,8.98838e-05,0,0,0,0,0,0,
0,0,0.0292672,-0.869615,-1.91934,0.000122309,-0.00295544,8.98838e-05,0,0,0,0,0,0,
0,0,0.0292691,-0.869614,-1.91934,0.000122309,-0.00295591,8.98838e-05,0,0,0,0,0,0,
0,0,0.029271,-0.869614,-1.91934,0.000122547,-0.00295639,8.98838e-05,0,0,0,0,0,0,
0,0,0.0292729,-0.869613,-1.91934,0.000122547,-0.00295687,8.98838e-05,0,0,0,0,0,0,
0,0,0.0292748,-0.869613,-1.91934,0.000122309,-0.00295734,8.98838e-05,0,0,0,0,0,0,
0,0,0.0292767,-0.869612,-1.91934,0.000122309,-0.00295782,8.98838e-05,0,0,0,0,0,0,
0,0,0.0292786,-0.869612,-1.91934,0.000122309,-0.0029583,9.01222e-05,0,0,0,0,0,0,
0,0,0.0292805,-0.869611,-1.91934,0.000122547,-0.00295877,9.01222e-05,0,0,0,0,0,0,
0,0,0.0292824,-0.86961,-1.91934,0.000122547,-0.00295925,9.01222e-05,0,0,0,0,0,0,
0,0,0.0292843,-0.86961,-1.91934,0.000122547,-0.00295973,9.01222e-05,0,0,0,0,0,0,
0,0,0.0292862,-0.869609,-1.91934,0.000122547,-0.00296021,9.01222e-05,0,0,0,0,0,0,
0,0,0.0292882,-0.869609,-1.91934,0.000122547,-0.00296068,9.01222e-05,0,0,0,0,0,0,
0,0,0.0292901,-0.869608,-1.91934,0.000122547,-0.00296116,9.01222e-05,0,0,0,0,0,0,
0,0,0.029292,-0.869608,-1.91934,0.000122547,-0.00296164,9.01222e-05,0,0,0,0,0,0,
0,0,0.0292939,-0.869607,-1.91934,0.000122547,-0.00296211,9.01222e-05,0,0,0,0,0,0,
0,0,0.0292958,-0.869607,-1.91934,0.000122547,-0.00296259,9.01222e-05,0,0,0,0,0,0,
0,0,0.0292977,-0.869607,-1.91934,0.000122547,-0.00296307,9.01222e-05,0,0,0,0,0,0,
0,0,0.0292996,-0.869606,-1.91934,0.000122547,-0.00296354,9.01222e-05,0,0,0,0,0,0,
0,0,0.0293015,-0.869605,-1.91934,0.000122547,-0.00296402,9.01222e-05,0,0,0,0,0,0,
0,0,0.0293034,-0.869605,-1.91934,0.000122547,-0.0029645,9.03606e-05,0,0,0,0,0,0,
0,0,0.0293053,-0.869605,-1.91934,0.000122547,-0.00296497,9.03606e-05,0,0,0,0,0,0,
0,0,0.0293072,-0.869604,-1.91934,0.000122547,-0.00296545,9.03606e-05,0,0,0,0,0,0,
0,0,0.0293091,-0.869603,-1.91934,0.000122547,-0.00296593,9.03606e-05,0,0,0,0,0,0,
0,0,0.029311,-0.869603,-1.91934,0.000122547,-0.0029664,9.03606e-05,0,0,0,0,0,0,
0,0,0.0293129,-0.869602,-1.91934,0.000122309,-0.00296688,9.03606e-05,0,0,0,0,0,0,
0,0,0.0293149,-0.869602,-1.91933,0.000122309,-0.00296736,9.03606e-05,0,0,0,0,0,0,
0,0,0.0293168,-0.869601,-1.91933,0.000122309,-0.00296783,9.05991e-05,0,0,0,0,0,0,
0,0,0.0293187,-0.869601,-1.91933,0.000122309,-0.00296831,9.05991e-05,0,0,0,0,0,0,
0,0,0.0293206,-0.8696,-1.91933,0.000122309,-0.00296879,9.05991e-05,0,0,0,0,0,0,
0,0,0.0293225,-0.8696,-1.91933,0.000122309,-0.00296926,9.05991e-05,0,0,0,0,0,0,
0,0,0.0293244,-0.8696,-1.91933,0.000122309,-0.00296974,9.05991e-05,0,0,0,0,0,0,
0,0,0.0293263,-0.869599,-1.91933,0.000122309,-0.00297022,9.05991e-05,0,0,0,0,0,0,
0,0,0.0293282,-0.869598,-1.91933,0.000122547,-0.0029707,9.05991e-05,0,0,0,0,0,0,
0,0,0.0293301,-0.869598,-1.91933,0.000122547,-0.00297117,9.05991e-05,0,0,0,0,0,0,
0,0,0.029332,-0.869597,-1.91933,0.000122547,-0.00297165,9.05991e-05,0,0,0,0,0,0,
0,0,0.0293339,-0.869597,-1.91933,0.000122547,-0.00297213,9.05991e-05,0,0,0,0,0,0,
0,0,0.0293358,-0.869596,-1.91933,0.000122547,-0.0029726,9.05991e-05,0,0,0,0,0,0,
0,0,0.0293377,-0.869596,-1.91933,0.000122786,-0.00297308,9.05991e-05,0,0,0,0,0,0,
0,0,0.0293397,-0.869595,-1.91933,0.000122786,-0.00297356,9.05991e-05,0,0,0,0,0,0,
0,0,0.0293416,-0.869595,-1.91933,0.000122786,-0.00297403,9.05991e-05,0,0,0,0,0,0,
0,0,0.0293435,-0.869595,-1.91933,0.000123024,-0.00297451,9.05991e-05,0,0,0,0,0,0,
0,0,0.0293454,-0.869594,-1.91933,0.000123024,-0.00297499,9.05991e-05,0,0,0,0,0,0,
0,0,0.0293473,-0.869593,-1.91933,0.000123024,-0.00297546,9.05991e-05,0,0,0,0,0,0,
0,0,0.0293492,-0.869593,-1.91933,0.000123024,-0.00297594,9.05991e-05,0,0,0,0,0,0,
0,0,0.0293511,-0.869592,-1.91933,0.000123024,-0.00297642,9.05991e-05,0,0,0,0,0,0,
0,0,0.029353,-0.869592,-1.91933,0.000123024,-0.00297689,9.05991e-05,0,0,0,0,0,0,
