Trajectory Recorded at ,Wed Oct 28 16:23:25 2020,Duration: 8.45258s

Time Stamp,Time Stamp,Position,Position,Position,Position,Position,Position,Velocity,Velocity,Velocity,Velocity,Velocity,Velocity
seconds,nseconds,elbow_joint,shoulder_lift_joint,shoulder_pan_joint,wrist_1_joint,wrist_2_joint,wrist_3_joint,elbow_joint,shoulder_lift_joint,shoulder_pan_joint,wrist_1_joint,wrist_2_joint,wrist_3_joint,
1603898609,809486792,-1.70968,-1.56974,0.936965,0.0455014,1.55225,0.628362,-0,0,-0,0,0,0,
1603898609,811484635,-1.70968,-1.56974,0.936977,0.0455257,1.55223,0.628386,-0,0,-0,0,0,0,
1603898609,813479371,-1.70968,-1.56974,0.936965,0.0455257,1.55225,0.628386,-0,0,-0,0,0,0,
1603898609,815478696,-1.70971,-1.56973,0.936977,0.0454776,1.55223,0.628374,-0,0,-0,0,0,0,
1603898609,817483654,-1.70971,-1.56971,0.936989,0.0454776,1.55225,0.628398,-0,0,-0,0,0,0,
1603898609,819486647,-1.70967,-1.56973,0.936965,0.0455257,1.55222,0.628374,-0,0,-0,0,0,0,
1603898609,821482138,-1.70971,-1.5697,0.936989,0.0455257,1.55221,0.628386,-0,0,-0,0,0,0,
1603898609,823480696,-1.70966,-1.56975,0.936965,0.0455376,1.55221,0.628374,-0,0,-0,0,0,0,
1603898609,825494523,-1.70967,-1.56974,0.936965,0.0455133,1.55224,0.628422,-0,0,-0,0,0,-8.63087e-08,
1603898609,827508178,-1.70968,-1.56974,0.936989,0.0455014,1.55228,0.628374,-0,0,-0,0,0,-8.4208e-10,
1603898609,829484541,-1.70964,-1.5697,0.937001,0.0455133,1.55222,0.628338,-0,0,-0,0,0,-8.21584e-12,
1603898609,831476719,-1.7097,-1.56975,0.936941,0.0455014,1.55224,0.628362,-0,0,-0,0,0,-3.99751e-06,
1603898609,833488402,-1.70967,-1.56969,0.936989,0.0455014,1.55221,0.628398,-0,0,-0,0,0,0.00019068,
1603898609,835488412,-1.70967,-1.56975,0.936941,0.0454895,1.55222,0.628398,-0,0,-0,0,0,0.000158923,
1603898609,837477052,-1.70966,-1.56969,0.936989,0.0455014,1.55219,0.628446,-0,0,-0,0,0,0.000135062,
1603898609,839480169,-1.70966,-1.56974,0.936977,0.0455376,1.55225,0.628362,-0,0,-0,0,0,4.04171e-06,
1603898609,841483416,-1.7097,-1.56971,0.936953,0.0454776,1.55222,0.628338,-0,0,-0,0,0,3.94333e-08,
1603898609,843477061,-1.70968,-1.56975,0.936977,0.0454776,1.55223,0.628386,-0,0,-0,0,0,3.84736e-10,
1603898609,845477081,-1.70967,-1.56971,0.936989,0.0455014,1.55223,0.628374,-0,0,-0,0,0,3.75371e-12,
1603898609,847482217,-1.70968,-1.56973,0.936965,0.0455257,1.55227,0.628386,-0,0,-0,0,0,3.66235e-14,
1603898609,849493903,-1.70968,-1.56974,0.937001,0.0454895,1.55222,0.628422,-0,0,-0,0,0,3.57321e-16,
1603898609,851491775,-1.70967,-1.56974,0.936977,0.0454895,1.55224,0.628374,-0,0,-0,0,0,3.48624e-18,
1603898609,853480476,-1.70971,-1.56975,0.936941,0.0454776,1.55225,0.628398,-0,0,-0,0,0,3.40139e-20,
1603898609,855498056,-1.70967,-1.5697,0.936977,0.0454895,1.55224,0.628398,-0,0,-0,0,0,3.3186e-22,
1603898609,857552014,-1.7097,-1.5697,0.936965,0.0454895,1.55221,0.628398,-0,0,-0,0,0,3.23783e-24,
1603898609,859491968,-1.70967,-1.56971,0.936941,0.0454776,1.55223,0.628386,-0,0,-0,0,0,3.15902e-26,
1603898609,861480009,-1.70967,-1.56971,0.936977,0.0454895,1.55219,0.628374,-0,0,-0,0,0,3.08213e-28,
1603898609,863483550,-1.70967,-1.56975,0.936953,0.0455014,1.55219,0.628374,-0,0,-0,0,0,3.00712e-30,
1603898609,865490180,-1.70966,-1.56975,0.936965,0.0454656,1.55222,0.62835,-0,0,-0,0,0,2.93393e-32,
1603898609,867493386,-1.70968,-1.56973,0.937001,0.0454776,1.55222,0.62841,-0,0,-0,0,0,2.86252e-34,
1603898609,869479492,-1.70967,-1.56973,0.936965,0.0454656,1.55221,0.62841,-0,0,-0,0,0,2.79284e-36,
1603898609,871486832,-1.70967,-1.56977,0.936953,0.0454537,1.55225,0.628374,-0,0,-0,0,0,2.72487e-38,
1603898609,873485006,-1.70967,-1.56971,0.936989,0.0455133,1.55225,0.628362,-0,0,-0,0,0,2.65854e-40,
1603898609,875480729,-1.70966,-1.56974,0.936953,0.0455133,1.55227,0.628374,-0,0,-0,0,0,2.5938e-42,
1603898609,877483844,-1.7097,-1.5697,0.936965,0.0455014,1.55222,0.62841,-0,0,-0,0,0,2.52234e-44,
1603898609,879488158,-1.7097,-1.56971,0.936965,0.0454656,1.55225,0.628326,-0,0,-0,0,0,0,
1603898609,881489984,-1.70968,-1.56973,0.936941,0.0454895,1.55224,0.62835,-0,0,-0,0,0,0,
1603898609,883486152,-1.70972,-1.56971,0.936965,0.0454895,1.55227,0.628398,-0,0,-0,0,0,0,
1603898609,885483849,-1.70968,-1.56974,0.936989,0.0455133,1.55227,0.628374,-0,0,-0,0,0,0,
1603898609,887483965,-1.7097,-1.56971,0.936989,0.0455133,1.55223,0.62835,-0,0,-0,0,0,0,
1603898609,889487469,-1.7097,-1.56975,0.936977,0.0455014,1.55225,0.628386,-0,0,-0,0,1.62486e-07,0,
1603898609,891477094,-1.70968,-1.56975,0.936965,0.0454895,1.55223,0.628362,-0,0,-0,0,1.58531e-09,0,
1603898609,893483155,-1.7097,-1.5697,0.936977,0.0454895,1.55228,0.628422,-0,0,-0,0,1.54673e-11,0,
1603898609,895497829,-1.70966,-1.56975,0.936953,0.0455257,1.55223,0.628374,-0,0,-0,0,1.50908e-13,0,
1603898609,897488842,-1.70966,-1.56977,0.936989,0.0455133,1.55221,0.628374,-0,0,-0,0,1.47235e-15,0,
1603898609,899486595,-1.70971,-1.56975,0.936989,0.0454776,1.55222,0.62841,-0,0,-0,0,1.43652e-17,0,
1603898609,901488371,-1.70967,-1.56973,0.936965,0.0455014,1.55221,0.628398,-0,0,-0,0,1.40155e-19,0,
1603898609,903486670,-1.70967,-1.56975,0.936977,0.0454895,1.55221,0.628374,-0,0,-0,0,1.36744e-21,0,
1603898609,905485903,-1.70967,-1.56974,0.936965,0.0454776,1.55221,0.628386,-0,0,-0,0,1.33416e-23,0,
1603898609,907480148,-1.70967,-1.56975,0.936977,0.0454895,1.55224,0.628386,-0,0,-0,0,1.30168e-25,0,
1603898609,909485870,-1.70968,-1.56975,0.936941,0.0454656,1.55222,0.628398,-0,0,-0,0,1.27e-27,0,
1603898609,911479142,-1.70971,-1.56971,0.937001,0.0455014,1.55225,0.628362,-0,0,-0,0,1.23909e-29,0,
1603898609,913489844,-1.7097,-1.56971,0.936989,0.0455014,1.55225,0.628398,-0,0,-0,0,-4.84757e-05,0,
1603898609,915487526,-1.70968,-1.56973,0.936941,0.0454537,1.55223,0.628386,-0,0,-0,0,-6.65736e-05,0,
1603898609,917483044,-1.70966,-1.56975,0.936965,0.0455014,1.55225,0.628386,-0,0,-0,0,-6.21852e-05,0,
1603898609,919698143,-1.70967,-1.56969,0.936977,0.0455133,1.55224,0.628398,-0,0,-0,0,-5.81677e-05,0,
1603898609,921600074,-1.70967,-1.5697,0.936941,0.0454895,1.55223,0.628374,-0,0,-0,0,-5.46359e-05,0,
1603898609,923496416,-1.70968,-1.56973,0.936989,0.0455133,1.55225,0.628398,-0,0,-0,0,-5.15088e-05,0,
1603898609,925515949,-1.70967,-1.56973,0.936977,0.0454776,1.55224,0.628374,-0,0,-0,0,-4.87201e-05,0,
1603898609,927525799,-1.70965,-1.56973,0.936965,0.0454895,1.55221,0.628422,-0,0,-0,0,-4.62178e-05,0,
1603898609,929499873,-1.70968,-1.56973,0.936989,0.0455257,1.55223,0.628374,-0,0,-0,0,-4.39601e-05,0,
1603898609,931498921,-1.7097,-1.56971,0.936941,0.0455014,1.55224,0.62841,-0,0,-0,0,-4.19126e-05,0,
1603898609,933487610,-1.70967,-1.5697,0.936965,0.0454776,1.55228,0.62835,-0,0,-0,0,-4.00475e-05,0,
1603898609,935495719,-1.70965,-1.56969,0.936989,0.0455133,1.55221,0.628362,-0,0,-0,0,-3.83413e-05,0,
1603898609,937503188,-1.7097,-1.56973,0.936965,0.0455376,1.55222,0.628362,-0,0,-0,0,-3.67746e-05,0,
1603898609,939495797,-1.70968,-1.56975,0.936989,0.0455133,1.55222,0.628374,-0,0,-0,0,-3.53309e-05,0,
1603898609,941485849,-1.70968,-1.56971,0.936965,0.0454895,1.55223,0.628386,-0,0,-0,0,-3.39962e-05,0,
1603898609,943496184,-1.70971,-1.56971,0.936989,0.0455133,1.55221,0.628374,-0,0,-0,0,-3.27588e-05,0,
1603898609,945493121,-1.70968,-1.56975,0.936977,0.0454776,1.55224,0.628398,-0,0,-0,0,-3.16083e-05,0,
1603898609,947499065,-1.70968,-1.56974,0.936941,0.0455257,1.55225,0.628362,-0,0,-0,0,-3.05359e-05,0,
1603898609,949488441,-1.70968,-1.56973,0.936965,0.0454776,1.55225,0.628314,-0,0,-0,0,-2.95338e-05,0,
1603898609,951491297,-1.7097,-1.56973,0.936953,0.0454776,1.55219,0.628374,-0,0,-0,0,-2.85954e-05,0,
1603898609,953499509,-1.70968,-1.56973,0.936965,0.0455257,1.55221,0.628386,-0,0,-0,0,-2.77148e-05,0,
1603898609,955492654,-1.7097,-1.56973,0.936977,0.0454895,1.55225,0.628362,-0,0,-0,0,-2.68868e-05,0,
1603898609,957525059,-1.70967,-1.56974,0.936953,0.0454656,1.55225,0.628398,-0,0,-0,0,-2.61069e-05,0,
1603898609,959536199,-1.70968,-1.56971,0.936965,0.0454895,1.55221,0.628374,-0,0,-0,0,-2.53709e-05,0,
1603898609,961492556,-1.70967,-1.56975,0.936965,0.0455014,1.55219,0.628374,-0,0,-0,0,-2.46753e-05,0,
1603898609,963486812,-1.70966,-1.56969,0.936965,0.0455133,1.55225,0.628374,-0,0,-0,0,-2.40169e-05,0,
1603898609,965482253,-1.70968,-1.56974,0.936977,0.0454656,1.55221,0.628362,-0,0,-0,0,-2.33926e-05,0,
1603898609,967482064,-1.70968,-1.56971,0.937001,0.0454895,1.55219,0.628374,-0,0,-0,0,-2.28e-05,0,
1603898609,969486154,-1.7097,-1.56974,0.936989,0.0455257,1.55223,0.628398,-0,0,-0,0,-2.22367e-05,0,
1603898609,971490503,-1.70968,-1.56973,0.936941,0.0455133,1.55222,0.628362,-0,0,-0,0,-2.17005e-05,0,
1603898609,973486384,-1.70966,-1.5697,0.936989,0.0455376,1.55224,0.628386,-0,0,-0,0,-2.11896e-05,0,
1603898609,975481507,-1.70971,-1.56973,0.936965,0.0455133,1.55221,0.628374,-0,0,-0,0,-2.07022e-05,0,
1603898609,977493865,-1.70971,-1.5697,0.937001,0.0454895,1.55222,0.628398,-0,0,-0,0,-2.02367e-05,0,
1603898609,979482574,-1.70971,-1.56975,0.936965,0.0454537,1.55223,0.628398,-0,0,-0,0,-1.97917e-05,0,
1603898609,981479729,-1.70968,-1.56975,0.936953,0.0455133,1.55223,0.628374,-0,0,-0,0,-1.93658e-05,0,
1603898609,983482911,-1.70967,-1.56973,0.936989,0.0455257,1.55223,0.628374,-0,0,-0,0,-1.89579e-05,0,
1603898609,985488189,-1.70971,-1.56974,0.936953,0.0455133,1.55224,0.62841,-0,0,-0,0,-1.85668e-05,0,
1603898609,987481661,-1.70968,-1.56974,0.936977,0.0454895,1.55223,0.628374,-0,0,-0,0,-1.81915e-05,0,
1603898609,989482960,-1.7097,-1.56974,0.936941,0.0455133,1.55224,0.628362,-0,0,-0,0,-1.78311e-05,0,
1603898609,991484929,-1.7097,-1.56969,0.936941,0.0454656,1.55223,0.628422,-0,0,-0,0,-1.74847e-05,0,
1603898609,993496626,-1.70968,-1.56973,0.936977,0.0454895,1.55222,0.628422,-0,0,-0,0,-1.71515e-05,0,
1603898609,995484781,-1.70967,-1.56974,0.936977,0.0455014,1.55221,0.628398,-0,0,-0,0,-1.68307e-05,0,
1603898609,997482017,-1.70967,-1.5697,0.936977,0.0454895,1.55224,0.628386,-0,0,-0,0,-1.65218e-05,0,
1603898609,999486623,-1.70971,-1.56973,0.937001,0.0455133,1.55224,0.628374,-0,0,-0,0,-1.6224e-05,0,
1603898610,1495563,-1.70968,-1.56973,0.936941,0.0455133,1.55223,0.628374,-0,0,-0,0,-1.59367e-05,0,
1603898610,3484015,-1.70967,-1.56974,0.936989,0.0454895,1.55222,0.628398,-0,0,-0,0,-1.56594e-05,0,
1603898610,5489011,-1.70967,-1.5697,0.936989,0.0454776,1.55224,0.62835,-0,0,-0,0,-1.53916e-05,0,
1603898610,7476373,-1.70968,-1.56973,0.936977,0.0454776,1.55221,0.62841,-0,0,-0,0,-1.51328e-05,0,
1603898610,9487242,-1.70964,-1.56975,0.936953,0.0454418,1.55221,0.628362,-0,0,-0,0,-1.48826e-05,0,
1603898610,11492587,-1.70971,-1.56969,0.936929,0.0455014,1.55223,0.628398,-0,0,-0,0,-1.46405e-05,0,
1603898610,13710093,-1.7097,-1.56968,0.936989,0.0454776,1.55221,0.62841,-0,0,-0,0,-1.44061e-05,0,
1603898610,15668272,-1.70968,-1.56971,0.936941,0.0454656,1.55222,0.628398,-0,0,-0,0,-1.41792e-05,0,
1603898610,17505874,-1.70968,-1.56973,0.936989,0.0454537,1.55224,0.628386,-0,0,-0,0,-1.39592e-05,0,
1603898610,19482337,-1.70971,-1.56973,0.937001,0.0455014,1.55224,0.62841,-0,0,-0,0,-1.37461e-05,0,
1603898610,21485029,-1.70968,-1.56973,0.936965,0.0455376,1.55223,0.628398,-0,0,-0,0,-1.35393e-05,0,
1603898610,23484557,-1.70968,-1.56971,0.936977,0.0455014,1.55224,0.628374,-0,0,-0,0,-1.33386e-05,0,
1603898610,25507662,-1.70967,-1.56971,0.936977,0.0454656,1.55225,0.628374,-0,0,-0,0,-1.31438e-05,0,
1603898610,27519657,-1.70967,-1.56977,0.936965,0.0455133,1.55222,0.628386,-0,0,-0,0,-1.29546e-05,0,
1603898610,29487825,-1.70968,-1.56976,0.936965,0.0455257,1.55225,0.62841,-0,0,-0,0,-1.27708e-05,0,
1603898610,31484517,-1.7097,-1.56973,0.936965,0.0454895,1.55222,0.628362,-0,0,-0,0,-1.25921e-05,0,
1603898610,33491232,-1.70965,-1.56971,0.936965,0.0454776,1.55224,0.628374,-0,0,-0,0,-1.24184e-05,0,
1603898610,35485129,-1.70967,-1.56973,0.936977,0.0455376,1.55223,0.628374,-0,0,-0,0,-1.22494e-05,0,
1603898610,37482196,-1.70968,-1.56974,0.936965,0.0454537,1.55222,0.628362,-0,0,-0,0,-1.20849e-05,0,
1603898610,39492627,-1.7097,-1.56973,0.936953,0.0454895,1.55223,0.628386,-0,0,-0,0,-1.19248e-05,0,
1603898610,41485832,-1.70966,-1.56969,0.936965,0.0454895,1.55225,0.628398,-0,0,-0,0,-1.17688e-05,0,
1603898610,43481703,-1.7097,-1.56975,0.937001,0.0455014,1.55227,0.628398,-0,0,-0,0,-1.16169e-05,0,
1603898610,45476723,-1.7097,-1.56973,0.936965,0.0454895,1.55225,0.628374,-0,0,-0,0,-1.14689e-05,0,
1603898610,47489420,-1.7097,-1.56975,0.936977,0.0454537,1.55222,0.628398,-0,0,-0,0,-1.13246e-05,0,
1603898610,49483981,-1.70968,-1.56974,0.936965,0.0455133,1.55225,0.628362,-0,0,-0,0,-1.11839e-05,0,
1603898610,51498418,-1.70971,-1.56974,0.936965,0.0454537,1.55225,0.628386,-0,0,-0,0,-1.10466e-05,0,
1603898610,53485820,-1.70965,-1.56974,0.937001,0.0454895,1.55222,0.62841,-0,0,-0,0,-1.09127e-05,0,
1603898610,55484266,-1.70968,-1.56975,0.936977,0.0454895,1.55221,0.628398,-0,0,-0,0,-1.07819e-05,0,
1603898610,57499460,-1.70968,-1.56974,0.936965,0.0454895,1.55219,0.628386,-0,0,-0,0,-1.06543e-05,0,
1603898610,59535170,-1.70966,-1.56971,0.936977,0.0454895,1.55223,0.628374,-0,0,-0,0,-1.05296e-05,0,
1603898610,61494252,-1.70968,-1.56971,0.936953,0.0454776,1.55224,0.628434,-0,0,-0,0,-1.04079e-05,0,
1603898610,63493522,-1.7097,-1.56971,0.936977,0.0455014,1.55223,0.62841,-0,0,-0,0,-1.02889e-05,0,
