Trajectory Recorded at ,Fri Dec 18 17:07:18 2020,Duration: 62.1581s

Time Stamp,Time Stamp,Position,Position,Position,Position,Position,Position,Velocity,Velocity,Velocity,Velocity,Velocity,Velocity,Extra Data,Extra Data
seconds,nseconds,shoulder_pan_joint,shoulder_lift_joint,elbow_joint,wrist_1_joint,wrist_2_joint,wrist_3_joint,shoulder_pan_joint,shoulder_lift_joint,elbow_joint,wrist_1_joint,wrist_2_joint,wrist_3_joint,name,value
1608307638,949893596,0.964446,-1.78789,-1.63462,0.300038,1.63283,0.157739,0,-0,-0,0,0,-2.70348e-05,,0
1608307638,951403785,0.964422,-1.78792,-1.63462,0.299966,1.63286,0.157763,0,-0,-0,0,0,-3.14899e-05,,0
1608307638,953406665,0.964446,-1.78788,-1.63462,0.300002,1.63284,0.157751,0,-0,-0,0,0,-3.09957e-05,,0
1608307638,955331354,0.964458,-1.78789,-1.63459,0.300002,1.63284,0.157751,0,-0,-0,0,0,-1.53869e-05,,0
1608307638,957347364,0.964446,-1.78794,-1.63458,0.300014,1.63286,0.157763,0,-0,-0,0,0,-1.49836e-05,,0
1608307638,959336756,0.96441,-1.78789,-1.63459,0.300002,1.63287,0.157739,0,-0,-0,0,0,-1.47368e-05,,0
1608307638,961318451,0.96441,-1.78789,-1.6346,0.299978,1.63283,0.157739,0,-0,-0,0,0,-1.44994e-05,,0
1608307638,963326481,0.964422,-1.78793,-1.6346,0.300002,1.63284,0.157727,0,-0,-0,0,0,-1.42695e-05,,0
1608307638,965319779,0.964446,-1.78792,-1.63457,0.300002,1.63283,0.157775,0,-0,-0,0,0,-1.40468e-05,,0
1608307638,967323868,0.964434,-1.78792,-1.6346,0.300002,1.63287,0.157727,0,-0,-0,0,0,-1.38309e-05,,0
1608307638,969321183,0.964446,-1.78792,-1.6346,0.299966,1.63284,0.157799,0,-0,-0,0,0,-1.36216e-05,,0
1608307638,971314579,0.96441,-1.78792,-1.63459,0.300002,1.63288,0.157763,0,-0,-0,0,0,-1.34185e-05,,0
1608307638,973323056,0.964422,-1.78788,-1.6346,0.300026,1.63282,0.157763,0,-0,-0,0,0,-1.32214e-05,,0
1608307638,975318278,0.964422,-1.78792,-1.63463,0.300002,1.63284,0.157703,0,-0,-0,0,0,-1.303e-05,,0
1608307638,977347209,0.964422,-1.78792,-1.63459,0.300002,1.63283,0.157751,0,-0,-0,0,0,-1.28441e-05,,0
1608307638,979345958,0.964434,-1.78787,-1.63459,0.300026,1.63284,0.157799,0,-0,-0,0,0,-1.26633e-05,,0
1608307638,981335980,0.964458,-1.78792,-1.6346,0.300014,1.63284,0.157763,0,-0,-0,0,0,-1.24876e-05,,0
1608307638,983325441,0.964434,-1.78789,-1.63462,0.299966,1.63284,0.157799,0,-0,-0,0,0,-1.23167e-05,,0
1608307638,985318919,0.964446,-1.78793,-1.63459,0.300038,1.63287,0.157787,0,-0,-0,0,0,-1.21505e-05,,0
